Tiempo (s),Nivel Tanque Reserva (L),Camiones en Fila,Deficit Hidrico Acumulado (L)
1,806.67,0,0.0
2,1204.34,0,0.0
3,1597.15,1,0.0
4,1985.1,1,0.0
5,2000.0,3,0.0
6,1998.8,4,0.0
7,1998.8,4,0.0
8,1998.8,4,0.0
9,1998.8,4,0.0
10,1998.8,4,0.0
11,1998.8,5,0.0
12,1998.8,4,0.0
13,1998.8,4,0.0
14,1998.8,4,0.0
15,1998.8,4,0.0
16,1998.8,4,0.0
17,1998.8,4,0.0
18,1998.8,3,0.0
19,1998.8,3,0.0
20,1998.8,4,0.0
21,1998.8,4,0.0
22,1998.8,4,0.0
23,1998.8,4,0.0
24,2000.0,3,0.0
25,1998.8,3,0.0
26,1998.8,4,0.0
27,1998.8,4,0.0
28,1998.8,4,0.0
29,1976.14,4,17.1
30,1919.2,3,71.1
31,1998.8,3,74.7
32,1992.81,3,79.2
33,1922.32,5,133.2
34,1854.33,5,187.2
